RTSI$ Index,Last Price,High Price,Low Price,Volume,Open Price,,SPX Index,Last Price,High Price,Low Price,Volume,Open Price
Dates,PX_LAST,PX_HIGH,PX_LOW,PX_VOLUME,PX_OPEN,,Dates,PX_LAST,PX_HIGH,PX_LOW,PX_VOLUME,PX_OPEN
12.05.2010,1485.36,1490.72,1412.86,3413612288,1420.37,,20.04.2010,1207.17,1208.58,1199.04,973545728,1199.04
13.05.2010,1476.03,1513.68,1458.84,4037469184,1485.36,,21.04.2010,1205.94,1210.99,1198.85,1121407744,1207.16
14.05.2010,1441.68,1478.81,1436.06,2412456704,1475.08,,22.04.2010,1208.67,1210.27,1190.19,1176059648,1202.52
17.05.2010,1422.72,1445,1392.78,3157075712,1441.68,,23.04.2010,1217.28,1217.28,1205.1,1065413440,1207.87
18.05.2010,1438.94,1447.01,1408.66,2257756416,1422.91,,26.04.2010,1212.05,1219.8,1211.07,1028909824,1217.07
19.05.2010,1379.88,1441,1371.74,2397790208,1438.94,,27.04.2010,1183.71,1211.38,1181.62,1383014400,1209.92
20.05.2010,1303.24,1397.41,1300.91,3535697408,1379.74,,28.04.2010,1191.36,1195.05,1181.81,1255201536,1184.59
21.05.2010,1297.91,1326.99,1279.19,3866740480,1303.65,,29.04.2010,1206.78,1209.36,1193.3,1125711744,1193.3
24.05.2010,1311.7,1329.98,1293.21,2530618368,1297.91,,30.04.2010,1186.69,1207.99,1186.32,1298899200,1206.77
25.05.2010,1226.57,1317.4,1224.73,1955368448,1314.33,,03.05.2010,1202.26,1205.13,1188.58,914874112,1188.58
26.05.2010,1305.25,1305.78,1227.4,1850320512,1227.55,,04.05.2010,1173.6,1197.5,1168.12,1252230784,1197.5
27.05.2010,1358.6,1362.37,1295.43,2894994944,1304.44,,05.05.2010,1165.9,1175.95,1158.15,1211551360,1169.24
28.05.2010,1366.9,1380.16,1352.35,2915068672,1358.6,,06.05.2010,1128.15,1167.58,1065.79,2145979392,1164.38
31.05.2010,1384.59,1384.59,1354.71,850282944,1366.18,,07.05.2010,1110.88,1135.13,1094.15,2043658112,1127.04
01.06.2010,1373.87,1386.53,1335.34,2998679040,1384.47,,10.05.2010,1159.73,1163.85,1122.27,1564598784,1122.27
02.06.2010,1383.87,1387.66,1345.67,3828940288,1373.65,,11.05.2010,1155.79,1170.48,1147.71,1199354240,1156.39
03.06.2010,1393.12,1423.42,1383.63,2137089280,1383.63,,12.05.2010,1171.67,1172.87,1155.43,1044816512,1155.43
04.06.2010,1360.74,1417.4,1352.29,3305453568,1390.36,,13.05.2010,1157.44,1173.57,1156.14,983465728,1170.04
07.06.2010,1340.82,1359.91,1308.75,3013199872,1359.3,,14.05.2010,1135.68,1157.19,1126.14,1275993344,1157.19
08.06.2010,1315.61,1359.22,1314.11,3397891584,1336.91,,17.05.2010,1136.94,1141.88,1114.96,1155261824,1136.52
09.06.2010,1334.55,1342.24,1315.61,2811226368,1315.61,,18.05.2010,1120.8,1148.66,1117.2,1261169024,1138.78
10.06.2010,1358.94,1359.12,1319.79,3038393856,1334.55,,19.05.2010,1115.05,1124.27,1100.66,1323995136,1119.57
11.06.2010,1356.79,1378.81,1348.53,3361375744,1358.41,,20.05.2010,1071.59,1107.34,1071.58,1726701312,1107.34
15.06.2010,1396.57,1396.61,1354.19,1225334016,1356.79,,21.05.2010,1087.69,1090.16,1055.9,2021934976,1067.26
16.06.2010,1401.63,1415.56,1389.35,4504573952,1395.94,,24.05.2010,1073.65,1089.95,1072.7,1072739840,1084.78
17.06.2010,1400.66,1425.81,1387.13,1296768768,1401.73,,25.05.2010,1074.03,1074.75,1040.78,1511350784,1067.42
18.06.2010,1409.43,1413.52,1393.06,3930142720,1400.66,,26.05.2010,1067.95,1090.75,1065.59,1549014528,1075.51
21.06.2010,1457.95,1458.9,1409,1892010880,1410.46,,27.05.2010,1103.06,1103.52,1074.27,1164023680,1074.27
22.06.2010,1434.93,1457.95,1423.53,1132769024,1457.95,,28.05.2010,1089.41,1102.59,1084.78,1194470400,1102.59
23.06.2010,1418.42,1436.17,1413.25,980827648,1434.78,,01.06.2010,1070.71,1094.77,1069.89,1148576000,1087.3
24.06.2010,1402.97,1430.72,1400.16,1070718016,1418.42,,02.06.2010,1098.38,1098.56,1072.03,1070242880,1073.01
25.06.2010,1387.66,1408.54,1382.33,1383575424,1403.11,,03.06.2010,1102.83,1105.67,1091.81,987637184,1098.82
28.06.2010,1403.42,1409.05,1379.02,1244572800,1386.58,,04.06.2010,1064.88,1098.43,1060.5,1355178624,1098.43
29.06.2010,1356.05,1407.39,1349.41,1403500288,1404.04,,07.06.2010,1050.47,1071.36,1049.86,1186455168,1065.84
30.06.2010,1339.35,1362.09,1333.85,2162363136,1356.4,,08.06.2010,1062,1063.15,1042.17,1365120512,1050.81
01.07.2010,1288.72,1341.02,1288.47,2726897152,1339.48,,09.06.2010,1055.69,1077.74,1052.25,1389961856,1062.75
02.07.2010,1316.65,1318.44,1285.48,2159742720,1288.72,,10.06.2010,1086.84,1087.85,1058.77,1099455360,1058.77
05.07.2010,1318,1324.73,1311.03,1703137152,1316.12,,11.06.2010,1091.6,1092.25,1077.12,859499392,1082.65
06.07.2010,1353.66,1354.43,1316.06,3976308224,1317.67,,14.06.2010,1089.63,1105.91,1089.03,873701760,1095
07.07.2010,1352.71,1353.46,1324.09,2303635456,1353.07,,15.06.2010,1115.23,1115.59,1091.21,959778176,1091.21
08.07.2010,1356.09,1374.65,1352.03,4403211264,1352.94,,16.06.2010,1114.61,1118.74,1107.13,843294528,1114.02
09.07.2010,1359.45,1370.38,1345.19,1492851840,1356.11,,17.06.2010,1116.04,1117.72,1105.87,901952192,1115.98
12.07.2010,1386.42,1390.33,1355.66,2688380160,1359.4,,18.06.2010,1117.51,1121.01,1113.93,1458415616,1116.16
13.07.2010,1409.61,1415.62,1376.63,3653459456,1385.23,,21.06.2010,1113.2,1131.23,1108.24,847742912,1122.79
14.07.2010,1412.14,1430.64,1408.41,411697568,1409.41,,22.06.2010,1095.31,1118.5,1094.18,895710080,1113.9
15.07.2010,1403.33,1433.94,1402.63,2247272192,1412.14,,23.06.2010,1092.04,1099.64,1085.31,928934272,1095.57
16.07.2010,1389.92,1416.97,1386.47,4426497024,1403.33,,24.06.2010,1073.69,1090.93,1071.6,1089501696,1090.93
19.07.2010,1394.92,1405.85,1381.46,2823829760,1389.92,,25.06.2010,1076.76,1083.56,1067.89,1794599424,1075.1
20.07.2010,1388.43,1414.19,1380.57,207832896,1395.46,,28.06.2010,1074.57,1082.6,1071.45,791454144,1077.5
21.07.2010,1417.49,1422.36,1388.43,4080945664,1388.43,,29.06.2010,1041.24,1071.1,1035.18,1370145024,1071.1
22.07.2010,1442.91,1443.25,1403.12,3608550656,1417.05,,30.06.2010,1030.71,1048.08,1028.33,1180803456,1040.56
23.07.2010,1449.19,1456.52,1438.04,3275688704,1443.26,,01.07.2010,1027.37,1033.58,1010.91,1337507840,1031.1
26.07.2010,1467.68,1469.99,1447.67,2003154560,1449.38,,02.07.2010,1022.58,1032.95,1015.93,919290880,1027.65
27.07.2010,1481.32,1492.2,1466.89,3524140288,1468.07,,06.07.2010,1028.06,1042.5,1018.35,1050871680,1028.09
28.07.2010,1474.96,1491.59,1468.42,3600538368,1481.57,,07.07.2010,1060.27,1060.89,1028.54,1077343616,1028.54
29.07.2010,1503.68,1510.37,1473.7,2225047296,1474.96,,08.07.2010,1070.25,1071.25,1058.24,966049920,1062.92
30.07.2010,1479.73,1504.39,1465.95,3452335616,1503.58,,09.07.2010,1077.96,1078.16,1068.1,732665280,1070.5
02.08.2010,1523.16,1525.05,1474.43,3242315008,1479.65,,12.07.2010,1078.75,1080.78,1070.45,704473792,1077.23
03.08.2010,1517.65,1531.26,1510.83,3367843328,1523.16,,13.07.2010,1095.34,1099.46,1080.65,961650176,1080.65
04.08.2010,1523.8,1534.7,1501.93,4163456000,1517.81,,14.07.2010,1095.17,1099.08,1087.68,932805568,1095.61
05.08.2010,1517.87,1534.72,1510.43,3028475392,1523.8,,15.07.2010,1096.48,1098.66,1080.53,970747712,1094.46
06.08.2010,1509.85,1528.22,1505.27,2246813952,1517.49,,16.07.2010,1064.88,1093.85,1063.32,1362979200,1093.85
09.08.2010,1520.56,1529.11,1504.93,2104982016,1509.69,,19.07.2010,1071.25,1074.7,1061.11,816103232,1066.85
10.08.2010,1492.9,1523.6,1485.76,2655201024,1520.56,,20.07.2010,1083.48,1083.94,1056.88,970360256,1064.53
